"id";"x";"y"
1382;-2237;171
1383;-493;-1092
1384;-2543;-99
1385;-2737;473
1386;-2731;479
1387;-2473;-264
1388;-1839;531
1389;-1631;-264
1390;-2742;465
1391;-2230;-374
1392;-1488;510
1393;-1524;-1205
1394;-2885;57
1395;589;674
1396;-1525;-1217
1397;-2834;7
1398;-175;103
1399;-2736;458
1400;-1259;-369
1402;-551;1029
1403;-2719;467
1404;-2728;465
1405;-2720;476
1406;-3116;-124
1407;-1400;356
1408;-1647;-398
1409;-1215;-288
1410;-2730;451
1411;-2721;457
1412;-1476;-815
1413;311;1192
1414;370;1728
1415;-150;-985
1416;1255;526
1417;1203;202
1418;1759;704
1419;1009;50
1420;1760;537
1421;1757;524
1422;1765;527
1423;1738;574
1424;918;40
1425;1437;627
1426;-51;-137
1427;1520;223
1428;1746;555
1429;380;1410
1430;1907;-51
1431;1743;565
1432;-499;311
1433;1752;543
1434;1751;533
1435;1772;507
1436;1089;535
1437;-136;-87
1438;1749;708
1439;615;4240
1440;534;4861
1441;529;4868
1442;2900;2236
1443;1298;213
1444;2305;1599
1445;3782;3347
1446;1811;1650
1447;3678;3158
1448;3643;2931
1449;4040;3271
1450;4042;3279
1451;4031;3271
1452;1159;209
1453;-329;-1223
1454;21;-1265
1455;199;-1298
1456;-186;-982
1457;-256;-1628
1458;-241;-756
1459;-479;-1505
1460;621;-901
1461;-488;-1995
1462;-1623;-1308
1463;-1435;-1587
1464;-1667;-1381
1465;-1377;-1674
1466;-1668;-1724
1467;-1644;-1720
1468;-416;-1267
1469;-2364;-588
1470;-1712;-701
1471;-2780;-611
1472;-1862;-577
1473;-941;-1593
1474;-828;-873
1475;-1687;-952
1476;-1425;-1139
1477;-1018;-1098
1478;-1267;-1378
1479;-724;-1124
1480;-973;-996
1482;-1685;-506
1483;-2110;-350
1484;-192;877
1485;1044;-900
1486;1783;-1235
1487;-1136;-1824
1488;-808;-1869
1489;-732;-1912
1490;-991;-1405
1491;-1225;-1960
1492;-301;-642
1493;-121;-969
1494;-415;-1114
1495;-843;-1611
1496;-38;-279
1497;-953;-695
1498;-923;-818
1499;-1132;-758
1500;-406;-1165
1501;-1113;-1548
1502;-1508;-1952
1503;548;-1703
1504;-1132;-918
1505;-141;-1865
1506;-1147;-1754
1507;-300;-1556
1508;2;-765
1509;-1019;-1962
1510;-1081;-1402
1511;32;-2075
1512;-274;-1156
1513;-311;-1017
1514;226;-567
1515;-367;52
1517;-44;-1064
1518;-1051;-1040
1519;-1517;-1010
1520;-1480;-1431
1521;-224;628
1522;-1700;-1278
1523;-1343;-1711
1524;-899;-314
1525;-34;-1049
1526;633;-1215
1527;-1049;-1913
1528;399;-1264
1529;-1233;-740
1530;91;-1380
1531;-178;-1172
1532;-374;-1053
1533;-11366;-5391
1534;-293;-1167
1535;-1314;-1368
1536;177;-1938
1537;-66;-292
1538;-812;-1823
1539;957;-511
1540;78;1684
1541;-490;-343
1542;-998;-1651
1543;-1526;-1400
1544;-1441;-1438
1545;-1028;-1257
1546;-561;-1787
1547;-1566;-2315
1548;-935;-1941
1549;-1095;-1303
1550;-651;-382
1551;-93;-797
1552;-539;-450
1553;-315;-1129
1554;-194;-138
1555;-982;-1001
1556;1308;2101
1557;659;-2087
1558;215;-709
1559;-1057;-1822
1560;-372;-1091
1561;421;-140
1562;-1450;-1663
1563;-1047;-1799
1564;-978;-1600
1565;-1680;-1881
1566;-957;-1119
1567;-1165;-1792
1568;-655;-1727
1569;-278;-1428
1570;-783;-1772
1571;-1283;-1030
1572;-1115;-1425
1573;-861;-845
1574;-1584;-2282
1575;-726;-1874
1576;-1573;-2305
1577;-1557;-2326
1578;-1548;-2337
1579;-597;-1592
1580;-853;-1869
1581;516;-1439
1582;-1578;-2294
1583;-770;-973
1584;-18;-1508
1585;-846;-1828
1586;-769;-1747
1587;-827;-951
1588;-125;-1162
1589;-611;-981
1590;-1016;-1586
1591;1365;-1161
1592;1361;-1106
1593;-1172;-455
1594;1364;-1136
1595;1353;-1074
1596;-922;-773
1597;-102;-216
1598;-291;-1290
1599;706;-1432
1600;-283;-966
1601;1354;-1138
1602;-1425;-1117
1603;84;-132
1604;763;94
1605;-321;-1054
1606;-1082;-1147
1607;398;74
1608;365;-324
1609;29;-1584
1610;-872;-967
1611;-290;908
1612;-294;-2013
1613;-251;-1712
1614;-590;-2068
1615;-209;-1921
1616;-835;-2024
1617;449;-486
1618;-643;-2242
1619;-885;-1706
1620;112;-830
1621;-287;-1280
1622;-1254;-2140
1623;-296;-1637
1624;-272;-1782
1625;304;-1217
1626;-66;-656
1627;-125;-1662
1628;429;-1990
1629;852;-2530
1630;175;-203
1631;-1490;-1151
1632;836;-2538
1633;149;-1521
1634;-1491;-1856
1635;-1272;-340
1636;-857;-2005
1637;819;-2540
1638;199;-1389
1639;-364;-1213
1640;-925;-1672
1641;-122;-1414
1642;-1274;-2103
1643;-523;-634
1644;-1270;-2112
1645;-771;-994
1646;-720;-1819
1647;-1566;-2302
1648;-925;-989
1649;-1311;-91
1650;-1319;-653
1651;-1294;-472
1652;-1177;-1177
1653;-2062;364
1654;-1464;-391
1655;-214;-2273
1656;-562;-1672
1657;134;200
1658;-232;-2283
1659;-217;-1298
1660;-29;-1328
1661;486;-681
1662;-232;-2302
1663;89;-889
1664;-594;181
1665;391;-1874
1666;380;-1880
1667;1058;-679
1668;740;588
1669;-2190;940
1670;-120;180
1671;-1139;-1443
1672;-786;-316
1673;-1418;-1809
1674;-13;2
1675;-779;-978
1676;288;-786
1677;-995;-1233
1678;-1557;-2315
1679;-1573;-2288
1680;-1442;-2081
1681;76;203
1682;-744;-835
1683;-1575;-429
1684;-1495;-628
1685;-659;-2211
1686;-710;-2887
1687;-59;-1652
1688;-700;-2889
1689;-902;-1564
1690;-700;-1792
1691;-704;-2879
1692;-655;-1315
1693;-523;-1684
1694;-710;-2872
1695;-160;-1134
1696;-748;-1463
1697;-1101;-1165
1698;-759;-1466
1699;696;-523
1700;-759;-1457
1701;-738;-1462
1702;547;1880
1703;-95;-1870
1704;-627;-1932
1705;-863;-2538
1706;186;-797
1707;394;251
1708;-1421;26
1709;174;-718
1710;-154;-766
1711;-1101;-1827
1712;129;-721
1713;-1250;-639
1714;-1305;-567
1715;-391;170
1716;-976;-1885
1717;-936;-749
1718;-56;-133
1719;-951;538
1720;961;-600
1721;-1145;-1610
1722;-1269;-1216
1723;-169;-1407
1724;118;-1686
1725;21;-1217
1726;-929;-717
1727;118;-300
1728;-237;-1047
1729;-679;-440
1730;119;-1700
1731;318;-290
1732;-133;-46
1733;245;-723
1734;-659;-438
1735;-325;-153
1736;-61;-1053
1737;-1252;-1620
1738;-911;-177
1739;-122;-664
1740;270;-342
1741;-900;-180
1742;-1007;-1194
1743;1070;-75
1744;-224;-1688
1745;-1105;-1637
1746;-216;-2294
1747;-221;-2278
1748;57;-1925
1749;-223;-2308
1750;-47;-1838
1751;-261;-2302
1752;7;-1605
1753;-836;-1838
1754;-932;-825
1755;-380;-1402
1756;-399;-1438
1757;-205;-1568
1758;-579;-1598
1759;-1118;-1514
1760;116;-1478
1761;108;-1489
1762;-598;-1613
1763;-167;-1210
1764;-612;-1805
1765;-1009;-1572
1766;179;-102
1767;-979;-1758
1768;-256;-2285
1769;-189;-551
1770;-203;-2267
1771;-260;-1252
1772;-710;-198
1773;-209;-1629
1774;-1320;-841
1775;-488;-386
1776;-155;-1639
1777;-1063;-706
1778;-552;-1756
1779;-376;-1363
1780;142;-531
1781;-1187;-1180
1782;-925;-1853
1783;-22;-267
1784;-280;-2295
1785;-1311;-1051
1786;-866;-787
1787;-960;-1765
1788;-1664;-490
1789;116;-1796
1790;-372;-997
1791;-184;-2264
1792;-1306;-934
1793;202;-1217
1794;404;-746
1795;-136;-1601
1796;-47;-2239
1797;-773;-1463
1798;-321;-1290
1799;5;-801
1800;-194;-1619
1801;-18;-1730
1802;-967;-1694
1803;100;-1933
1804;172;-874
1805;-909;-1899
1806;-146;-1484
1807;591;-1471
1808;-831;-2200
1809;-330;-1612
1810;336;-2107
1811;-379;-1601
1812;575;-1477
1813;107;-1872
1814;-168;-1235
1815;1371;-452
1816;587;-1260
1817;1371;-466
1818;-505;-955
1819;1368;-479
1820;-37;-1385
1822;-724;-149
1823;-1430;-889
1824;-1039;-1083
1825;-1797;-763
1826;-1682;-2083
1827;-1214;-1248
1828;-1689;-2098
1829;-708;-269
1830;-1178;-1438
1831;-740;-923
1832;-1406;-762
1833;-1275;-1297
1834;-1671;-2076
1835;-1010;-620
1836;-998;-571
1837;-66;-833
1838;-1396;-609
1839;-1396;-580
1840;-1397;-596
1841;-1258;-423
1842;-1395;-569
1843;-1465;-1583
1844;-393;-956
1845;-1018;-768
1846;-141;-1421
1847;-120;-1577
1848;-1631;-2123
1849;200;-845
1850;-477;-1970
1851;124;-2195
1852;-1311;-1933
1853;-77;-1307
1854;-18;-1325
1855;-1945;-520
1856;-704;-490
1857;-96;212
1858;1200;420
1859;393;-713
1860;874;-1125
1861;737;-921
1862;-34;-109
1863;1209;410
1864;289;-1227
1865;366;-624
1866;-392;-1125
1867;135;-1927
1868;1207;404
1869;1191;418
1870;1218;393
1871;518;-843
1872;-589;-1104
1873;-234;-1024
1874;315;-432
1875;1214;385
1876;-677;-927
1877;-724;-1801
1878;-235;-1722
1879;1201;404
1880;-1900;-690
1881;35;-1587
1882;-1960;180
1883;-1430;436
1884;-900;-87
1885;-879;-889
1886;-187;-1046
1887;-391;-1308
1888;-1371;115
1889;-901;-797
1890;498;612
1891;1654;1708
1892;77;-75
1893;2127;2106
1894;118;-1512
1895;507;-1134
1896;813;699
1897;647;-445
1898;2134;2097
1899;-135;-593
1900;-1178;257
1901;-1286;-1359
1902;-784;-1078
1903;-779;-1413
1904;-212;-1046
1905;-918;-1905
1906;-368;-6
1907;-346;-1127
1908;-310;-1228
1909;-542;-1124
1910;-209;-2636
1911;-432;-1527
1912;-1239;-1138
1913;49;-1784
1914;-1032;-1936
1915;-197;-712
1916;-446;-1539
1917;-748;-1738
1918;-798;-456
1919;-1012;-294
1920;-815;-951
1921;4;-989
1922;-1206;-1706
1923;-139;-705
1924;-794;-1702
1925;-1651;-1726
1926;-118;-770
1927;-388;-1425
1928;582;-2194
1929;44;-876
1930;150;-314
1931;230;-1747
1932;-787;-1468
1933;663;-36
1934;-748;-1454
1935;-712;-1484
1936;-182;-927
1937;-1183;-1515
1938;1649;-1548
1939;507;-2073
1940;410;-1001
1941;282;-1307
1942;2242;-1808
1943;472;-1998
1944;625;-1227
1945;1087;-2349
1946;2236;-1826
1947;1841;2494
1948;2190;2350
1949;-638;-2906
1950;499;55
